"Park_Name","City","Country","Year","Attendance","Type","Region"
" SHANGHAI DISNEYLAND AT SHANGHAI DISNEY RESORT"," SHANGHAI"," CHINA","2021",84800000,"Amusement/Theme Park","Worldwide"
" SHANGHAI DISNEYLAND AT SHANGHAI DISNEY RESORT"," SHANGHAI"," CHINA","2022",5.3e+07,"Amusement/Theme Park","Worldwide"
" UNIVERSAL STUDIOS FLORIDA AT UNIVERSAL ORLANDO"," FL"," U.S.","2019",109220000,"Amusement/Theme Park","Worldwide"
" UNIVERSAL STUDIOS FLORIDA AT UNIVERSAL ORLANDO"," FL"," U.S.","2020",40960000,"Amusement/Theme Park","Worldwide"
" UNIVERSAL STUDIOS FLORIDA AT UNIVERSAL ORLANDO"," FL"," U.S.","2021",89870000,"Amusement/Theme Park","Worldwide"
" UNIVERSAL STUDIOS FLORIDA AT UNIVERSAL ORLANDO"," FL"," U.S.","2022",107500000,"Amusement/Theme Park","Worldwide"
" UNIVERSAL'S ISLANDS OF ADVENTURE AT UNIVERSAL ORLANDO"," ORLANDO"," U.S.","2019",103750000,"Amusement/Theme Park","Worldwide"
" UNIVERSAL'S ISLANDS OF ADVENTURE AT UNIVERSAL ORLANDO"," ORLANDO"," U.S.","2020",40050000,"Amusement/Theme Park","Worldwide"
" UNIVERSAL'S ISLANDS OF ADVENTURE AT UNIVERSAL ORLANDO"," ORLANDO"," U.S.","2021",90770000,"Amusement/Theme Park","Worldwide"
" UNIVERSAL'S ISLANDS OF ADVENTURE AT UNIVERSAL ORLANDO"," ORLANDO"," U.S.","2022",110250000,"Amusement/Theme Park","Worldwide"
" DISNEYCALIFORNIA ADVENTURE PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2019",98610000,"Amusement/Theme Park","Worldwide"
" DISNEYCALIFORNIA ADVENTURE PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2020",19190000,"Amusement/Theme Park","Worldwide"
" DISNEYCALIFORNIA ADVENTURE PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2021",49770000,"Amusement/Theme Park","Worldwide"
" DISNEYCALIFORNIA ADVENTURE PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2022",9e+07,"Amusement/Theme Park","Worldwide"
" DISNEYLAND PARK AT DISNEYLAND PARIS"," MARNE-LA-VALLEE"," FRANCE","2019",97450000,"Amusement/Theme Park","Worldwide"
" DISNEYLAND PARK AT DISNEYLAND PARIS"," MARNE-LA-VALLEE"," FRANCE","2020",26200000,"Amusement/Theme Park","Worldwide"
" DISNEYLAND PARK AT DISNEYLAND PARIS"," MARNE-LA-VALLEE"," FRANCE","2021",3.5e+07,"Amusement/Theme Park","Worldwide"
" DISNEYLAND PARK AT DISNEYLAND PARIS"," MARNE-LA-VALLEE"," FRANCE","2022",99300000,"Amusement/Theme Park","Worldwide"
" UNIVERSAL STUDIOS HOLLYWOOD"," UNIVERSAL CITY"," U.S.","2019",91470000,"Amusement/Theme Park","Worldwide"
" UNIVERSAL STUDIOS HOLLYWOOD"," UNIVERSAL CITY"," U.S.","2020",12990000,"Amusement/Theme Park","Worldwide"
" UNIVERSAL STUDIOS HOLLYWOOD"," UNIVERSAL CITY"," U.S.","2021",55050000,"Amusement/Theme Park","Worldwide"
" UNIVERSAL STUDIOS HOLLYWOOD"," UNIVERSAL CITY"," U.S.","2022",8.4e+07,"Amusement/Theme Park","Worldwide"
" EVERLAND"," GYEONGGI-DO"," SOUTH KOREA","2019",66060000,"Amusement/Theme Park","Worldwide"
" EVERLAND"," GYEONGGI-DO"," SOUTH KOREA","2020",27600000,"Amusement/Theme Park","Worldwide"
" EVERLAND"," GYEONGGI-DO"," SOUTH KOREA","2021",37100000,"Amusement/Theme Park","Worldwide"
" EVERLAND"," GYEONGGI-DO"," SOUTH KOREA","2022",57700000,"Amusement/Theme Park","Worldwide"
" LOTTE WORLD"," SEOUL"," SOUTH KOREA","2019",59530000,"Amusement/Theme Park","Worldwide"
" LOTTE WORLD"," SEOUL"," SOUTH KOREA","2020",15600000,"Amusement/Theme Park","Worldwide"
" LOTTE WORLD"," SEOUL"," SOUTH KOREA","2021",24600000,"Amusement/Theme Park","Worldwide"
" LOTTE WORLD"," SEOUL"," SOUTH KOREA","2022",45200000,"Amusement/Theme Park","Worldwide"
" NAGASHIMA SPA LAND"," KUWANA"," JAPAN","2019",59500000,"Amusement/Theme Park","Worldwide"
" NAGASHIMA SPA LAND"," KUWANA"," JAPAN","2020",2.4e+07,"Amusement/Theme Park","Worldwide"
" NAGASHIMA SPA LAND"," KUWANA"," JAPAN","2021",3.6e+07,"Amusement/Theme Park","Worldwide"
" NAGASHIMA SPA LAND"," KUWANA"," JAPAN","2022",4.2e+07,"Amusement/Theme Park","Worldwide"
" EUROPA-PARK"," RUST"," GERMANY","2019",57500000,"Amusement/Theme Park","Worldwide"
" EUROPA-PARK"," RUST"," GERMANY","2020",2.5e+07,"Amusement/Theme Park","Worldwide"
" EUROPA-PARK"," RUST"," GERMANY","2021",3e+07,"Amusement/Theme Park","Worldwide"
" EUROPA-PARK"," RUST"," GERMANY","2022",6e+07,"Amusement/Theme Park","Worldwide"
" OCEAN PARK"," HONG KONG"," SAR","2019",5.7e+07,"Amusement/Theme Park","Worldwide"
" OCEAN PARK"," HONG KONG"," SAR","2020",2.2e+07,"Amusement/Theme Park","Worldwide"
" OCEAN PARK"," HONG KONG"," SAR","2021",1.4e+07,"Amusement/Theme Park","Worldwide"
" OCEAN PARK"," HONG KONG"," SAR","2022",1.4e+07,"Amusement/Theme Park","Worldwide"
" HONG KONG DISNEYLAND"," HONG KONG"," SAR","2019",56950000,"Amusement/Theme Park","Worldwide"
" HONG KONG DISNEYLAND"," HONG KONG"," SAR","2020",1.7e+07,"Amusement/Theme Park","Worldwide"
" HONG KONG DISNEYLAND"," HONG KONG"," SAR","2021",2.8e+07,"Amusement/Theme Park","Worldwide"
" HONG KONG DISNEYLAND"," HONG KONG"," SAR","2022",3.4e+07,"Amusement/Theme Park","Worldwide"
" DE EFTELING EFTELING THEME PARK RESORT"," KAATSHEUVEL"," NETHERLANDS","2019",52600000,"Amusement/Theme Park","Worldwide"
" DE EFTELING EFTELING THEME PARK RESORT"," KAATSHEUVEL"," NETHERLANDS","2020",2.9e+07,"Amusement/Theme Park","Worldwide"
" DE EFTELING EFTELING THEME PARK RESORT"," KAATSHEUVEL"," NETHERLANDS","2021",3.3e+07,"Amusement/Theme Park","Worldwide"
" DE EFTELING EFTELING THEME PARK RESORT"," KAATSHEUVEL"," NETHERLANDS","2022",54300000,"Amusement/Theme Park","Worldwide"
" WALT DISNEY STUDIOS PARK AT DISNEYLAND PARIS"," MARNE-LA-VALLEE"," FRANCE","2019",52450000,"Amusement/Theme Park","Worldwide"
" WALT DISNEY STUDIOS PARK AT DISNEYLAND PARIS"," MARNE-LA-VALLEE"," FRANCE","2020",14100000,"Amusement/Theme Park","Worldwide"
" WALT DISNEY STUDIOS PARK AT DISNEYLAND PARIS"," MARNE-LA-VALLEE"," FRANCE","2021",18840000,"Amusement/Theme Park","Worldwide"
" WALT DISNEY STUDIOS PARK AT DISNEYLAND PARIS"," MARNE-LA-VALLEE"," FRANCE","2022",53400000,"Amusement/Theme Park","Worldwide"
" OCT HAPPY VALLEY"," BEIJING"," CHINA","2019",51600000,"Amusement/Theme Park","Worldwide"
" OCT HAPPY VALLEY"," BEIJING"," CHINA","2020",39500000,"Amusement/Theme Park","Worldwide"
" OCT HAPPY VALLEY"," BEIJING"," CHINA","2021",49300000,"Amusement/Theme Park","Worldwide"
" OCT HAPPY VALLEY"," BEIJING"," CHINA","2022",37400000,"Amusement/Theme Park","Worldwide"
" CHIMELONG PARADISE"," GUANGZHOU"," CHINA","2019",49050000,"Amusement/Theme Park","Worldwide"
