"Park_Name","Country_State","Year","Attendance","Type","Region"
"Victoria and Albert Museum"," London","2019",39210000,"Museum","Europe"
"Victoria and Albert Museum"," London","2020",8720000,"Museum","Europe"
"Victoria and Albert Museum"," London","2021",8580000,"Museum","Europe"
"Victoria and Albert Museum"," London","2022",23700000,"Museum","Europe"
"Science Museum (South Kensington)"," London","2019",32540000,"Museum","Europe"
"Science Museum (South Kensington)"," London","2020",8620000,"Museum","Europe"
"Science Museum (South Kensington)"," London","2021",6460000,"Museum","Europe"
"Science Museum (South Kensington)"," London","2022",23350000,"Museum","Europe"
"Galleria Degli Uffizi"," Florence","2019",23620000,"Museum","Europe"
"Galleria Degli Uffizi"," Florence","2020",6590000,"Museum","Europe"
"Galleria Degli Uffizi"," Florence","2021",9700000,"Museum","Europe"
"Galleria Degli Uffizi"," Florence","2022",22230000,"Museum","Europe"
"Cité des Sciences et de l'Industrie"," Paris","2019",23700000,"Museum","Europe"
"Cité des Sciences et de l'Industrie"," Paris","2020",7930000,"Museum","Europe"
"Cité des Sciences et de l'Industrie"," Paris","2021",9840000,"Museum","Europe"
"Cité des Sciences et de l'Industrie"," Paris","2022",21010000,"Museum","Europe"
"National Museum of Scotland"," Edinburgh","2019",22100000,"Museum","Europe"
"National Museum of Scotland"," Edinburgh","2020",4440000,"Museum","Europe"
"National Museum of Scotland"," Edinburgh","2021",6610000,"Museum","Europe"
"National Museum of Scotland"," Edinburgh","2022",19740000,"Museum","Europe"
"State Tretyakov Gallery"," Moscow","2019",28360000,"Museum","Europe"
"State Tretyakov Gallery"," Moscow","2020",8940000,"Museum","Europe"
"State Tretyakov Gallery"," Moscow","2021",15810000,"Museum","Europe"
"State Tretyakov Gallery"," Moscow","2022",19100000,"Museum","Europe"
"Rijksmuseum"," Amsterdam","2019",2.7e+07,"Museum","Europe"
"Rijksmuseum"," Amsterdam","2020",6750000,"Museum","Europe"
"Rijksmuseum"," Amsterdam","2021",6250000,"Museum","Europe"
"Rijksmuseum"," Amsterdam","2022",17660000,"Museum","Europe"
"Van Gogh Museum"," Amsterdam","2019",2.1e+07,"Museum","Europe"
"Van Gogh Museum"," Amsterdam","2020",5170000,"Museum","Europe"
"Van Gogh Museum"," Amsterdam","2021",3660000,"Museum","Europe"
"Van Gogh Museum"," Amsterdam","2022",13460000,"Museum","Europe"
"Auschwitz-Birkenau Museum"," Owięcim","2019",2.3e+07,"Museum","Europe"
"Auschwitz-Birkenau Museum"," Owięcim","2020",5020000,"Museum","Europe"
"Auschwitz-Birkenau Museum"," Owięcim","2021",5630000,"Museum","Europe"
"Auschwitz-Birkenau Museum"," Owięcim","2022",11840000,"Museum","Europe"
